Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BNOI,2023-10-23,2023-10-26 00:00:00,2.5,2.45,-0.0499999999999998,-1.999999999999993,0.98,Closed,2.5015,2.4485300000000003,-0.0529699999999997,-2.1175294823106032,0.978824705176894,True,1,0.978824705176894,,,,
IBSD,2023-10-25,2023-10-29 00:00:00,3.49,3.42,-0.0700000000000002,-2.005730659025796,0.979942693409742,Closed,3.4920940000000003,3.417948,-0.0741460000000002,-2.1232532686691785,0.9787674673133082,True,4,,,,0.9787674673133082,
TASC,2023-10-26,2023-10-29 00:00:00,8.5,8.3,-0.1999999999999993,-2.35294117647058,0.9764705882352942,Closed,8.5051,8.295020000000001,-0.2100799999999996,-2.4700473833347,0.975299526166653,True,5,,,,,0.975299526166653
BMNS,2023-10-29,2023-11-07 00:00:00,0.91,1.03,0.12,13.186813186813188,1.1318681318681318,Closed,0.910546,1.029382,0.1188359999999999,13.051070456627114,1.1305107045662712,True,1,1.1305107045662712,,,,
IBSD,2023-10-30,2023-11-08 00:00:00,3.34,3.48,0.1400000000000001,4.19161676646707,1.0419161676646709,Closed,3.342004,3.477912,0.1359080000000001,4.066661799327593,1.040666617993276,True,3,,,1.040666617993276,,
BNOI,2023-10-30,2023-11-07 00:00:00,2.35,2.76,0.4099999999999997,17.446808510638284,1.174468085106383,Closed,2.35141,2.758344,0.4069339999999997,17.305956851421048,1.1730595685142104,True,4,,,,1.1730595685142104,
TASC,2023-10-31,2023-11-06 00:00:00,8.3,8.85,0.5499999999999989,6.626506024096372,1.0662650602409638,Closed,8.30498,8.84469,0.5397099999999995,6.498630941916771,1.0649863094191676,True,5,,,,,1.0649863094191676
BMNS,2023-11-08,2024-01-28 00:00:00,1.0,1.68,0.6799999999999999,68.0,1.68,Closed,1.0006,1.678992,0.6783920000000001,67.79852088746753,1.6779852088746754,True,1,1.6779852088746754,,,,
BNOI,2023-11-08,2023-11-21 00:00:00,2.52,2.63,0.1099999999999998,4.36507936507936,1.0436507936507935,Closed,2.521512,2.628422,0.10691,4.239916367639736,1.0423991636763974,True,4,,,,1.0423991636763974,
BBOB,2023-11-09,2023-12-04 00:00:00,3.16,3.29,0.1299999999999999,4.113924050632908,1.0411392405063291,Closed,3.161896,3.288026,0.1261299999999998,3.989062258847219,1.039890622588472,True,2,,1.039890622588472,,,
TASC,2023-11-09,2023-11-13 00:00:00,8.7,8.6,-0.0999999999999996,-1.1494252873563178,0.9885057471264368,Closed,8.705219999999999,8.59484,-0.1103799999999992,-1.2679748472755343,0.9873202515272448,True,3,,,0.9873202515272448,,
IBSD,2023-11-09,2023-11-28 00:00:00,3.46,3.5,0.04,1.156069364161851,1.0115606936416186,Closed,3.462076,3.4979,0.0358239999999998,1.0347548696215756,1.0103475486962157,True,5,,,,,1.0103475486962157
TASC,2023-11-15,2023-12-21 00:00:00,8.7,8.88,0.1800000000000015,2.0689655172413968,1.020689655172414,Closed,8.705219999999999,8.874672,0.1694520000000015,1.9465562042085267,1.0194655620420852,True,3,,,1.0194655620420852,,
BNOI,2023-11-22,2023-11-28 00:00:00,2.59,2.46,-0.1299999999999999,-5.019305019305016,0.9498069498069498,Closed,2.591554,2.458524,-0.1330299999999997,-5.133213508188514,0.9486678649181148,True,4,,,,0.9486678649181148,
BNOI,2023-11-29,2023-11-30 00:00:00,2.48,2.39,-0.0899999999999998,-3.6290322580645102,0.9637096774193548,Closed,2.481488,2.388566,-0.0929220000000001,-3.744608073865365,0.9625539192613464,True,4,,,,0.9625539192613464,
IBSD,2023-11-30,2023-12-05 00:00:00,3.47,3.4,-0.0700000000000002,-2.0172910662824286,0.9798270893371755,Closed,3.4720820000000003,3.39796,-0.0741220000000004,-2.1347998117556117,0.9786520018824438,True,5,,,,,0.9786520018824438
BNOI,2023-12-03,2023-12-21 00:00:00,2.64,2.44,-0.2000000000000001,-7.575757575757581,0.9242424242424242,Closed,2.641584,2.438536,-0.2030479999999999,-7.686600161115447,0.9231339983888456,True,4,,,,0.9231339983888456,
BBOB,2023-12-05,2023-12-21 00:00:00,3.16,3.55,0.3899999999999997,12.341772151898724,1.1234177215189871,Closed,3.161896,3.54787,0.3859739999999996,12.207042862889848,1.1220704286288985,True,2,,1.1220704286288985,,,
IBSD,2023-12-06,2023-12-07 00:00:00,3.41,3.36,-0.0500000000000002,-1.4662756598240547,0.9853372434017594,Closed,3.412046,3.357984,-0.054062,-1.584445227291779,0.9841555477270822,True,5,,,,,0.9841555477270822
TASC,2023-12-22,2023-12-24 00:00:00,8.88,8.64,-0.2400000000000002,-2.702702702702705,0.9729729729729728,Closed,8.885328000000001,8.634816,-0.2505120000000005,-2.819389447412638,0.9718061055258737,True,2,,0.9718061055258737,,,
BNOI,2023-12-22,2023-12-25 00:00:00,2.44,2.38,-0.06,-2.459016393442625,0.9754098360655736,Closed,2.441464,2.378572,-0.0628920000000001,-2.57599538637474,0.9742400461362526,True,3,,,0.9742400461362526,,
BBOB,2023-12-26,2024-01-02 00:00:00,3.51,3.42,-0.0899999999999998,-2.5641025641025603,0.9743589743589745,Closed,3.512106,3.417948,-0.0941579999999997,-2.6809555292465475,0.9731904447075346,True,2,,0.9731904447075346,,,
TASC,2023-12-26,2024-01-11 00:00:00,8.53,9.2,0.6699999999999999,7.854630715123095,1.078546307151231,Closed,8.535117999999999,9.19448,0.6593619999999998,7.725282767033799,1.077252827670338,True,3,,,1.077252827670338,,
BNOI,2023-12-27,2024-01-21 00:00:00,2.3,2.87,0.5700000000000003,24.78260869565219,1.247826086956522,Closed,2.30138,2.868278,0.5668980000000001,24.632959354821896,1.246329593548219,True,4,,,,1.246329593548219,
BBOB,2024-01-03,2024-03-11 00:00:00,3.35,3.74,0.3900000000000001,11.641791044776124,1.1164179104477612,Closed,3.35201,3.737756,0.3857460000000001,11.507901229411612,1.115079012294116,True,2,,1.115079012294116,,,
TASC,2024-01-14,2024-02-29 00:00:00,9.35,9.78,0.4299999999999997,4.59893048128342,1.045989304812834,Closed,9.35561,9.774132,0.4185219999999994,4.47348703077618,1.044734870307762,True,3,,,1.044734870307762,,
IBSD,2024-01-18,2024-01-29 00:00:00,3.77,4.01,0.2399999999999997,6.366047745358085,1.063660477453581,Closed,3.772262,4.007594,0.2353320000000001,6.238485025695461,1.0623848502569546,True,5,,,,,1.0623848502569546
BNOI,2024-01-22,2024-02-11 00:00:00,3.0,3.0,0.0,0.0,1.0,Closed,3.0018,2.9982,-0.0035999999999996,-0.1199280431740823,0.9988007195682592,True,4,,,,0.9988007195682592,
BMNS,2024-01-29,2024-02-05 00:00:00,1.61,1.69,0.0799999999999998,4.968944099378873,1.0496894409937887,Closed,1.610966,1.688986,0.0780199999999997,4.843056898779971,1.0484305689877995,True,1,1.0484305689877995,,,,
IBSD,2024-01-30,2024-02-07 00:00:00,4.05,4.2,0.1500000000000003,3.7037037037037126,1.0370370370370372,Closed,4.05243,4.1974800000000005,0.1450500000000003,3.5793338811527984,1.035793338811528,True,5,,,,,1.035793338811528
IBSD,2024-02-08,2024-02-20 00:00:00,4.19,4.1,-0.0900000000000007,-2.147971360381879,0.9785202863961812,Closed,4.192514,4.09754,-0.0949740000000005,-2.2653233835355246,0.9773467661646448,True,1,0.9773467661646448,,,,
