Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
40,HISH,OBV Strategy,2024-10-29T00:00:00Z,2024-11-12T00:00:00Z,10.25,10.48,,Strong Sell,703,61.69,0.85022223753575,14,LONG,100,SIGNAL
41,IHFI,OBV Strategy,2024-10-31T00:00:00Z,2024-11-14T00:00:00Z,1.45,1.48,,Strong Sell,2961,-11.17,-0.2571688404379,14,LONG,100,SIGNAL
42,BBOB,OBV Strategy,2024-10-09T00:00:00Z,2024-11-14T00:00:00Z,3.06,3.4272,,TAKE_PROFIT,2022,642.4784,10.30055216022266,36,LONG,100,TAKE_PROFIT
43,NDSA,OBV Strategy,2024-10-14T00:00:00Z,2024-11-14T00:00:00Z,0.8,0.752,,STOP_LOSS,7474,-458.752,-7.60883699329928,31,LONG,100,STOP_LOSS
44,IKLV,OBV Strategy,2024-11-06T00:00:00Z,2024-11-25T00:00:00Z,3.46,3.2524,,STOP_LOSS,1323,-374.6548,-8.09612799778718,19,LONG,100,STOP_LOSS
45,BNOI,OBV Strategy,2024-10-31T00:00:00Z,2024-11-26T00:00:00Z,3.33,3.7296,,TAKE_PROFIT,1390,455.444,9.73441340543313,26,LONG,100,TAKE_PROFIT
46,TASC,OBV Strategy,2024-10-09T00:00:00Z,2024-11-26T00:00:00Z,11.3,12.21,,Strong Sell,778,607.98,6.8765127694709,48,LONG,100,SIGNAL
47,HBAG,OBV Strategy,2024-11-12T00:00:00Z,2024-11-28T00:00:00Z,12.55,11,,Weak Sell,380,-689,-14.29757211039635,16,LONG,100,SIGNAL
48,NDSA,OBV Strategy,2024-11-17T00:00:00Z,2024-12-05T00:00:00Z,0.77,0.7,,Strong Sell,6204,-534.28,-11.06838917109308,18,LONG,100,SIGNAL
49,IIEW,OBV Strategy,2024-11-26T00:00:00Z,2024-12-12T00:00:00Z,9,8.46,,STOP_LOSS,881,-575.74,-7.2156911893721,16,LONG,100,STOP_LOSS
50,NGIR,OBV Strategy,2024-11-04T00:00:00Z,2024-12-15T00:00:00Z,0.37,0.4144,,TAKE_PROFIT,12333,447.5852,9.70225071045974,41,LONG,100,TAKE_PROFIT
51,BMNS,OBV Strategy,2024-11-14T00:00:00Z,2024-12-23T00:00:00Z,1.93,1.96,,Weak Sell,2454,-26.38,-0.55116563801915,39,LONG,100,SIGNAL
52,HKAR,OBV Strategy,2024-11-28T00:00:00Z,2024-12-23T00:00:00Z,1.12,0.75,,Weak Sell,6989,-2685.93,-34.09544434402007,25,LONG,100,SIGNAL
53,BASH,OBV Strategy,2024-12-12T00:00:00Z,2024-12-26T00:00:00Z,0.29,0.3248,,TAKE_PROFIT,20883,626.7284,10.26402252185121,14,LONG,100,TAKE_PROFIT
54,SKTA,OBV Strategy,2024-11-25T00:00:00Z,2024-12-30T00:00:00Z,4.61,4.3334,,STOP_LOSS,1027,-384.0682,-8.02739279376817,35,LONG,100,STOP_LOSS
